"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.938017500E-1,3.523524258E0,-1.077110552E0,-8.391949047E0,9.165162255E0
1.003732750E0,3.552586967E0,-1.086704444E0,-8.364199916E0,9.152138599E0
1.013662750E0,3.583563469E0,-1.092165013E0,-8.326657868E0,9.130606924E0
1.023592750E0,3.592672554E0,-1.100526166E0,-8.293165017E0,9.104671324E0
1.033523750E0,3.602843201E0,-1.100145439E0,-8.278197899E0,9.095018393E0
1.043453750E0,3.609061130E0,-1.103429308E0,-8.255156361E0,9.076920459E0
1.053383750E0,3.598898669E0,-1.115545835E0,-8.223695417E0,9.045754830E0
1.063314750E0,3.603297237E0,-1.113289687E0,-8.202058965E0,9.027565351E0
1.073244750E0,3.585997372E0,-1.114885319E0,-8.181346373E0,9.002042818E0
1.083174750E0,3.563799587E0,-1.118233435E0,-8.170910847E0,8.984147015E0
1.093104750E0,3.535221613E0,-1.108825557E0,-8.153913576E0,8.956204139E0
1.103035750E0,3.507639712E0,-1.103680665E0,-8.114336697E0,8.908653512E0
1.112965750E0,3.466072441E0,-1.105293547E0,-8.096343645E0,8.876154145E0
1.122895750E0,3.415698093E0,-1.098253572E0,-8.075239289E0,8.836438420E0
1.132826750E0,3.269244052E0,-1.020617897E0,-8.017991540E0,8.718819066E0
1.142756750E0,1.222486732E0,1.488039273E-1,-7.687135028E0,7.785156476E0
1.152686750E0,-3.888175513E1,2.423419458E1,4.144222514E1,6.177819270E1
1.162616750E0,-2.663162901E0,-3.895658823E-1,6.894520739E1,6.899772330E1
1.172547750E0,2.332748088E1,-7.157193103E0,-2.047431797E-1,2.440161259E1
1.182477750E0,1.733881582E0,9.061006173E-2,-2.108808382E1,2.115943843E1
1.192407750E0,3.134834106E0,-8.012588713E-1,-8.935132577E0,9.502936116E0
1.202338750E0,3.408411001E0,-8.494836362E-1,-9.384407485E0,1.002027903E1
1.212268750E0,3.794186608E0,-1.027800105E0,-9.203707471E0,1.000801960E1
1.222198750E0,4.160508822E0,-1.191400668E0,-8.870220298E0,9.869654368E0
1.232128750E0,4.507175620E0,-1.348003209E0,-8.693884646E0,9.885108748E0
1.242059750E0,4.835086889E0,-1.511212739E0,-8.464232912E0,9.864333123E0
1.251989750E0,5.162280997E0,-1.684638817E0,-8.212306795E0,9.845259567E0
1.261919750E0,5.479869592E0,-1.837472462E0,-7.950336331E0,9.829197504E0
1.271850750E0,5.764145429E0,-1.992571758E0,-7.681904109E0,9.808535338E0
1.281780750E0,6.042733095E0,-2.144119601E0,-7.406055863E0,9.795995895E0
1.291710750E0,6.323892367E0,-2.297869944E0,-7.117291703E0,9.794266799E0
1.301640750E0,6.581281537E0,-2.443597176E0,-6.827857452E0,9.793062402E0
1.311571750E0,6.813159306E0,-2.592379724E0,-6.532343266E0,9.788313486E0
1.321501750E0,7.040753989E0,-2.731212212E0,-6.207056812E0,9.775443271E0
