"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.075304042E0,7.538323975E-1,-2.040856018E0,1.130134872E1,1.150885918E1
1.085350042E0,1.012195129E0,-2.228865051E0,1.140164017E1,1.166146547E1
1.095395042E0,1.535207520E0,-2.014510803E0,1.127350662E1,1.155452584E1
1.105440042E0,2.056124268E0,-1.069376221E0,1.067026108E1,1.091905142E1
1.115485042E0,1.937121735E0,3.742218018E-1,9.535470886E0,9.737437424E0
1.125531042E0,1.089733887E0,6.701564026E-1,8.558452606E0,8.653539193E0
1.135576042E0,1.185085602E0,3.233276367E-2,8.413254547E0,8.496371306E0
1.145621042E0,1.645228729E0,-5.848338318E-1,8.972940674E0,9.141251146E0
1.155667042E0,1.553918610E0,-9.660910034E-1,9.777816925E0,9.947547371E0
1.165712042E0,1.375489655E0,-1.031954041E0,1.044093796E1,1.058159186E1
1.175757042E0,1.334924011E0,-8.845106506E-1,1.062670166E1,1.074668178E1
1.185802042E0,1.432670746E0,-7.171586609E-1,1.027418472E1,1.039835245E1
1.195848042E0,1.563199310E0,-5.026547241E-1,9.755213928E0,9.892444220E0
1.205893042E0,1.478176117E0,-3.261717224E-1,9.352700958E0,9.474408047E0
1.215938042E0,1.378333740E0,-3.869453430E-1,9.282347260E0,9.392097808E0
1.225983042E0,1.359173584E0,-5.343887329E-1,9.603728943E0,9.714140917E0
1.236029042E0,1.437311096E0,-6.490502930E-1,9.940528564E0,1.006485159E1
1.246074042E0,1.516346741E0,-7.122189331E-1,1.002659958E1,1.016559208E1
1.256119042E0,1.481618958E0,-6.436614990E-1,9.921817474E0,1.005246024E1
1.266164042E0,1.426533508E0,-5.414241028E-1,9.727072449E0,9.846018298E0
1.276210042E0,1.419049072E0,-5.110372925E-1,9.630373535E0,9.747766606E0
1.286255042E0,1.431622925E0,-5.337899780E-1,9.673932953E0,9.793847799E0
1.296300042E0,1.419947205E0,-5.754034424E-1,9.772428131E0,9.891799167E0
1.306345042E0,1.450633392E0,-6.117778015E-1,9.831255798E0,9.956515449E0
1.316391042E0,1.464404755E0,-6.117778015E-1,9.806407471E0,9.934001251E0
1.326436042E0,1.478625183E0,-5.819897461E-1,9.752968597E0,9.881570774E0
1.336481042E0,1.443598022E0,-5.671705627E-1,9.716893616E0,9.839902400E0
1.346526042E0,1.435365143E0,-5.578898621E-1,9.737850037E0,9.858865935E0
1.356572042E0,1.422192535E0,-5.655239868E-1,9.783205719E0,9.902199914E0
1.366617042E0,1.431922302E0,-5.694158936E-1,9.785301361E0,9.905895147E0
1.376662042E0,1.448837128E0,-5.795947266E-1,9.772428131E0,9.896232144E0
1.386707042E0,1.463356934E0,-5.703140259E-1,9.753717041E0,9.879355633E0
1.396753042E0,1.468895416E0,-5.707630920E-1,9.742191010E0,9.868825154E0
1.406798042E0,1.446591797E0,-5.914201355E-1,9.742490387E0,9.867042340E0
1.416843042E0,1.423539734E0,-5.659730530E-1,9.771529999E0,9.890884156E0
1.426889042E0,1.423539734E0,-5.596861267E-1,9.799821167E0,9.918478151E0
1.436934042E0,1.451082458E0,-5.827381897E-1,9.771080933E0,9.895415438E0
1.446979042E0,1.465153198E0,-6.002517700E-1,9.751022644E0,9.878735683E0
1.457024042E0,1.453327789E0,-5.730084229E-1,9.764045563E0,9.888229673E0
1.467070042E0,1.463806000E0,-5.863307190E-1,9.770631866E0,9.897058087E0
1.477115042E0,1.450334015E0,-5.734574890E-1,9.776619415E0,9.900232797E0
1.487160042E0,1.430275726E0,-5.670208740E-1,9.775870972E0,9.896204049E0
1.497205958E0,1.420396271E0,-5.572911072E-1,9.762698364E0,9.881213402E0
1.507251958E0,1.432970123E0,-5.556445312E-1,9.763596497E0,9.883823186E0
1.517296958E0,1.456620941E0,-5.791456604E-1,9.760453033E0,9.885524654E0
1.527341958E0,1.465302887E0,-5.801934814E-1,9.757010193E0,9.883470288E0
1.537386958E0,1.466949463E0,-6.023474121E-1,9.764045563E0,9.891984072E0
1.547432958E0,1.444496155E0,-5.731581116E-1,9.769134979E0,9.891970360E0
1.557477958E0,1.422940979E0,-5.676196289E-1,9.773026886E0,9.892371181E0
1.567522958E0,1.429676971E0,-5.698649597E-1,9.771979065E0,9.892436361E0
1.577567958E0,1.449435883E0,-5.634283447E-1,9.764045563E0,9.887107850E0
1.587613958E0,1.457818451E0,-5.776487732E-1,9.756261749E0,9.881475399E0
1.597658958E0,1.451531525E0,-5.831872559E-1,9.762249298E0,9.886787269E0
1.607703958E0,1.444795532E0,-5.830375671E-1,9.768536224E0,9.892000147E0
1.617748958E0,1.448986816E0,-5.888754272E-1,9.780960388E0,9.905227063E0
1.627794958E0,1.434167633E0,-5.751040649E-1,9.772727509E0,9.894128786E0
1.637839958E0,1.435365143E0,-5.749543762E-1,9.769733734E0,9.891336758E0
1.647884958E0,1.442250824E0,-5.761518860E-1,9.762848053E0,9.885607748E0
1.657929958E0,1.434467010E0,-5.869294739E-1,9.773625641E0,9.895753634E0
1.667975958E0,1.445394287E0,-5.670208740E-1,9.769284668E0,9.891895685E0
1.678020958E0,1.476978607E0,-5.816903687E-1,9.764195251E0,9.892387902E0
1.688065958E0,1.443148956E0,-5.810916138E-1,9.758357391E0,9.881593260E0
1.698110958E0,1.427731018E0,-5.731581116E-1,9.778116302E0,9.898408180E0
1.708156958E0,1.440903625E0,-5.635780334E-1,9.774523773E0,9.896218391E0
1.718201958E0,1.442699890E0,-5.662724304E-1,9.767488403E0,9.889685392E0
1.728246958E0,1.432820435E0,-5.852828979E-1,9.769134979E0,9.890982191E0
1.738292958E0,1.438508606E0,-5.800437927E-1,9.753717041E0,9.876272269E0
1.748337958E0,1.448986816E0,-5.821394348E-1,9.767039337E0,9.891082172E0
1.758382958E0,1.432521057E0,-5.751040649E-1,9.767937469E0,9.889158896E0
1.768427958E0,1.428778839E0,-5.707630920E-1,9.776769104E0,9.897090158E0
1.778473958E0,1.454076233E0,-5.846841431E-1,9.761500854E0,9.886510617E0
1.788518958E0,1.439556427E0,-5.767506409E-1,9.761949921E0,9.884362916E0
1.798563958E0,1.446142731E0,-5.725593567E-1,9.766290894E0,9.889367565E0
1.808608958E0,1.448837128E0,-5.719606018E-1,9.776769104E0,9.900074852E0
1.818654958E0,1.449136505E0,-5.902226257E-1,9.769434357E0,9.893947999E0
1.828699958E0,1.438658295E0,-5.911207581E-1,9.758207703E0,9.881385480E0
1.838744958E0,1.438059540E0,-5.855822754E-1,9.766590271E0,9.889247057E0
1.848789958E0,1.435963898E0,-5.769003296E-1,9.771679688E0,9.893458961E0
1.858835958E0,1.434017944E0,-5.818400574E-1,9.782756653E0,9.904406749E0
1.868880958E0,1.450184326E0,-5.731581116E-1,9.768685913E0,9.892359136E0
1.878925958E0,1.450932770E0,-5.825885010E-1,9.759704590E0,9.884151402E0
1.888970958E0,1.437161407E0,-5.825885010E-1,9.761500854E0,9.883913254E0
1.899016958E0,1.435365143E0,-5.734574890E-1,9.767189026E0,9.888736423E0
1.909061958E0,1.450034637E0,-5.881269836E-1,9.771230621E0,9.895728455E0
1.919106958E0,1.443298645E0,-5.777984619E-1,9.767787781E0,9.890735067E0
1.929151958E0,1.438508606E0,-5.828878784E-1,9.758806458E0,9.881465922E0
1.939197958E0,1.459015961E0,-5.863307190E-1,9.768685913E0,9.894429532E0
1.949242958E0,1.440903625E0,-5.722599792E-1,9.756112061E0,9.878532648E0
1.959287958E0,1.450483704E0,-5.776487732E-1,9.764794006E0,9.888821116E0
1.969332958E0,1.445244598E0,-5.840853882E-1,9.776918793E0,9.900405485E0
1.979378958E0,1.444795532E0,-5.830375671E-1,9.763596497E0,9.887122103E0
1.989423958E0,1.442699890E0,-5.740562439E-1,9.751022644E0,9.873872905E0
1.999468958E0,1.440155182E0,-5.774990845E-1,9.759105835E0,9.881685020E0
2.009513958E0,1.449136505E0,-5.840853882E-1,9.771380310E0,9.895505319E0
2.019559958E0,1.441502380E0,-5.888754272E-1,9.764195251E0,9.887578687E0
2.029604958E0,1.433568878E0,-5.760021973E-1,9.767189026E0,9.888623753E0
2.039649958E0,1.434167633E0,-5.773493958E-1,9.764344940E0,9.885980034E0
2.049694958E0,1.448088684E0,-5.834866333E-1,9.751172333E0,9.875362239E0
2.059740958E0,1.446292419E0,-5.845344543E-1,9.765093384E0,9.888907477E0
2.069785958E0,1.432521057E0,-5.792953491E-1,9.768536224E0,9.889994927E0
2.079830958E0,1.451531525E0,-5.879772949E-1,9.752968597E0,9.877907548E0
2.089876958E0,1.435963898E0,-5.864804077E-1,9.748328247E0,9.870960196E0
2.099921958E0,1.443897400E0,-5.858816528E-1,9.768236847E0,9.891741409E0
2.109966958E0,1.445543976E0,-5.801934814E-1,9.762398987E0,9.885881642E0
